ID,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40
0,0.532052933,-0.148820779,0.549597177,0.272469302,-0.901925471,1.772201477,-0.349480198,-0.343700736,0.19042235,-0.834592263,-0.075796381,-0.115043637,-2.034246279,0.589132122,1.174138908,-1.119038209,-0.827094103,-0.420573372,0.01532407,-0.812427716,-1.210298807,-0.460444317,0.164273468,-2.580043169,-1.394984183,-0.524758594,-0.371982197,0.489680545,-0.55441348,0.916313492,-0.688370274,0.16469303,-0.890457473,0.781842401,1.123591616,-0.275561334,-1.056806936,0.299571625,-1.639389426,-1.517434287,1.413108842
1,5.184914343,2.014094043,-0.09302711,-0.362051548,0.456102239,1.061241383,-1.067338144,0.643530929,0.349824773,-1.280970024,0.772820211,1.203275922,-1.350384899,-0.613803154,-0.879326558,-0.368221267,0.682525986,0.445635473,1.335092304,1.117305233,-1.333671984,1.15563505,0.358838733,-0.620785251,0.20892226,-1.549504143,-1.036694287,0.078700248,-0.510555334,-0.438151545,1.339519167,-0.761799587,-0.274411191,0.673034726,-0.631398838,1.07993518,0.83939989,-0.04249005,-0.588538106,-0.456224348,-2.120964969
2,-1.4325694,0.838779227,-2.688284767,-1.379351575,-1.05357642,-0.150719525,1.079089776,0.300198681,0.234107044,0.223404529,0.931231065,0.412947728,0.516927363,0.901978083,-0.657301765,0.820444058,0.893483405,-1.873290477,-0.570795918,0.900289314,-0.001316261,-0.699141401,1.131879028,0.632680251,-1.162649169,-1.870187952,-1.501152144,0.958493005,0.373123543,0.094861857,-0.265813351,0.299277242,-0.186497174,-1.439135235,-0.744981838,-0.577295141,0.629025611,0.349650739,-0.014911774,-0.007519122,0.158456537
3,5.187497016,0.830986105,-0.887701556,1.387494576,-0.228949966,-1.753282908,0.055467128,1.159490837,-2.459410379,-1.363845578,1.760160193,0.615392253,1.471223307,0.782025516,0.669090159,-1.344152099,-0.972319815,1.075320014,-1.202579357,-0.347154485,0.962117952,-0.572144214,0.045562443,0.31923248,-1.337154058,-0.116345293,-0.427942528,-0.070663882,0.766937688,1.138781242,-0.464824635,-0.470507876,-0.801736149,-0.325791155,-0.757732014,0.318283759,-1.736214841,-1.50594831,0.207231316,0.897712905,0.664533875
4,7.141232382,1.209246575,0.614854619,-0.999241113,-0.170428146,-0.51756301,-0.391593208,-1.18387646,0.9074405,-0.287904536,0.157425966,-1.660351844,0.853164016,0.095865672,-0.835335935,1.296685071,0.901191045,1.287383378,1.567060511,-1.050697342,0.606801576,0.206042399,-1.41534472,1.239195244,0.82748726,-0.308809745,-0.193875963,0.046300682,0.965701155,-0.09632697,-1.361770564,0.492472941,-0.276980073,-0.419119161,0.025663534,-0.165302592,0.623123694,1.151711198,-0.622248752,-0.873813601,-1.110714304
5,0.943747944,-0.610330998,-0.528211451,-0.344436032,-1.829718982,-0.141674677,-0.05225429,0.744514103,-0.01662068,2.56710652,0.629702314,-1.191988537,0.364358819,-0.711396965,-0.858792199,0.091531833,1.28227316,-0.488079837,-0.522857812,0.246358149,0.060162181,1.132454349,0.382202703,-1.127448025,0.661229007,1.161377323,0.7900537,-0.390663223,0.30875748,0.649593316,1.482354161,-0.415648758,-1.534103764,0.706095891,1.185622308,0.298774662,0.657528176,0.633991977,0.478966649,-0.818020406,0.321307669
6,12.82096618,1.202660772,2.006613969,0.964745376,-0.043628503,1.239715516,1.014056018,1.28423192,-0.216585093,0.926633839,0.407769256,-0.675697325,-0.781055538,-0.579292111,0.724312849,0.690826486,0.982970418,-0.597897041,-1.93473475,0.755650661,0.544719285,-0.793950723,0.222685995,-1.004973113,-0.067541037,0.235914142,0.584072865,-0.673878563,-0.476486465,0.52426432,-0.668205092,2.578650034,-0.721297487,-0.046775071,1.108710625,1.309797069,0.753906436,0.456778146,-1.112409645,0.032920156,-0.285249568
7,-1.830884558,-0.047207865,-0.420685054,-0.720065133,1.029672577,-0.236838319,-1.914387704,1.751876552,0.276028143,1.463223461,-0.982208539,-2.046708099,0.478391882,-1.556460714,0.841551516,2.022972466,0.744134584,0.737515979,-0.329215861,-1.316910282,1.119898267,0.675360101,-0.031910513,1.162376384,-0.908862456,1.158651064,0.909584958,1.379117498,1.840719347,-2.139336159,-0.040938157,0.388590822,1.095961343,-0.702933741,-1.378061573,0.513943758,-1.091626503,0.534824415,0.995309305,-1.197719744,-0.316238294
8,-0.639806769,0.861041749,0.165213826,-0.932557811,1.653122786,-1.450756238,-0.783747999,1.27262197,-1.356099892,-0.37291878,-0.155195052,1.043217966,1.628108681,-0.313310865,-0.499475492,-0.432119504,-0.053450763,-0.900570172,-0.17059197,-1.1037322,-2.276395554,0.247739444,-0.021475594,-1.454896341,1.842600578,-0.321975278,0.645739267,0.731403106,-1.703146638,-1.575415877,-1.453652927,-0.764421117,0.733010691,0.144914572,0.202941904,-1.344421144,0.390301852,-0.118811757,1.466949244,1.018458013,-0.706520345
9,-3.042675659,-0.677255561,1.21486334,0.086862872,0.07115144,0.011309149,-1.338045009,1.266648048,0.177074272,-0.617473298,-0.197357581,-0.572884728,1.869321965,1.830138625,2.421657588,-0.10372572,0.321752614,-0.675635813,-0.331502383,-0.461770988,-0.198970738,-0.171982799,1.480119059,0.636633257,1.217131935,0.737051664,-0.563331991,0.488189684,0.099643662,0.990693545,-1.428343194,0.115309025,1.529832554,-0.783237252,1.697735852,0.627583168,-0.881052381,-0.870789325,-0.533829882,0.250639402,0.507709657
